               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074677,            0.031032,            0.026061,             0.33093,              0.5461,             0.38545,             0.15938,            0.043503,            0.013617,           0.0099577,            0.070341,           0.0032955,           0.0032955
                   1,            0.061633,            0.023703,           0.0097672,              0.5048,             0.71469,             0.58144,             0.22821,            0.050557,           0.0088109,           0.0051756,            0.040308,            0.006596,            0.006596
                   2,            0.059741,             0.02277,           0.0073495,             0.49825,             0.53041,             0.49327,             0.13157,            0.048374,            0.010923,           0.0082139,            0.010242,           0.0098635,           0.0098635
                   3,            0.053265,             0.02203,           0.0066627,             0.48633,             0.44406,             0.40078,             0.12849,            0.043292,            0.013573,            0.010484,           0.0098515,           0.0098515,           0.0098515
                   4,            0.049189,            0.022039,           0.0063993,              0.6435,             0.56337,             0.58505,             0.24865,            0.039998,            0.013519,           0.0080795,           0.0098515,           0.0098515,           0.0098515
                   5,            0.046218,            0.022336,           0.0063547,             0.52864,             0.55022,             0.50158,             0.19138,            0.040791,            0.013879,           0.0083283,            0.009802,            0.009802,            0.009802
                   6,            0.044693,            0.021466,           0.0058024,              0.7261,             0.68449,             0.70024,             0.23919,            0.038962,            0.009113,           0.0035522,           0.0097525,           0.0097525,           0.0097525
                   7,             0.04227,             0.02138,           0.0052848,             0.73734,             0.69117,             0.76944,             0.37671,            0.036036,           0.0091039,           0.0079997,            0.009703,            0.009703,            0.009703
                   8,            0.043435,            0.022435,           0.0049788,             0.72294,             0.62106,             0.62358,             0.22411,            0.037539,            0.009502,           0.0063421,           0.0096535,           0.0096535,           0.0096535
                   9,            0.042709,            0.020789,           0.0049296,             0.78333,             0.74024,             0.75546,             0.38486,            0.034019,           0.0092103,           0.0064125,            0.009604,            0.009604,            0.009604
                  10,            0.040358,            0.020234,           0.0039089,             0.74264,             0.71292,              0.7489,               0.359,            0.032745,           0.0089275,           0.0060932,           0.0095545,           0.0095545,           0.0095545
                  11,            0.042672,            0.021448,           0.0046474,             0.74914,             0.39047,             0.53568,             0.21735,            0.043209,            0.012835,            0.017207,            0.009505,            0.009505,            0.009505
                  12,             0.04273,            0.020598,           0.0046634,             0.80046,             0.68715,             0.74149,             0.31309,            0.034854,           0.0088375,           0.0047133,           0.0094555,           0.0094555,           0.0094555
                  13,            0.038656,            0.019202,           0.0043352,             0.67884,             0.68591,             0.64793,             0.26519,            0.037582,           0.0084661,           0.0022186,            0.009406,            0.009406,            0.009406
                  14,            0.040506,            0.020701,           0.0040732,             0.81751,             0.75572,             0.79428,             0.37991,            0.034238,            0.008227,           0.0029649,           0.0093565,           0.0093565,           0.0093565
                  15,            0.038583,            0.018392,           0.0029322,             0.75346,             0.76314,             0.76557,             0.32578,             0.03534,           0.0083447,           0.0030124,            0.009307,            0.009307,            0.009307
                  16,            0.037606,            0.018758,           0.0029412,              0.7833,             0.48219,              0.5477,             0.23205,            0.041008,             0.01073,            0.014685,           0.0092575,           0.0092575,           0.0092575
                  17,            0.037852,             0.01893,             0.00321,             0.81955,             0.71093,             0.72664,              0.3125,            0.040227,           0.0082725,           0.0034752,            0.009208,            0.009208,            0.009208
                  18,            0.038443,            0.019636,           0.0023624,             0.86565,             0.74747,             0.80769,             0.33458,            0.035257,           0.0081701,           0.0026367,           0.0091585,           0.0091585,           0.0091585
                  19,            0.037731,            0.019128,           0.0029208,             0.77318,             0.79521,              0.7879,             0.36227,            0.035637,           0.0078819,           0.0019106,            0.009109,            0.009109,            0.009109
                  20,            0.035313,            0.018464,           0.0034067,             0.64272,             0.44996,             0.50307,             0.20244,            0.042857,            0.011514,           0.0093751,           0.0090595,           0.0090595,           0.0090595
                  21,            0.035679,            0.018612,           0.0034823,             0.76497,             0.83769,             0.80926,              0.4586,            0.030828,           0.0078089,           0.0027386,             0.00901,             0.00901,             0.00901
